Serial Number,Author(s),doi,Species,Plant part used,place,TPC,TFC,TCC,Methodogy,solvent system,scienctific name,result,mislenious,Exatraction technique,FRAP,ABTS,DPPH,Unit meaning
11,"(Viera et al., 2022)",https://doi.org/10.3390%2Fplants11030328,Passiflora edulis Sims.,fruit pulp,Ecuador,2.09,0.55,42.5,percolation method,,PASSIFLORA EDULIS F. FLAVICARPA,The results for carotenoids obtained for all the passion fruit germplasm grown in Ecuador were higher (from 22.80 to 67.73 g ² carotene g) ,ascorbic acid,"Pulp was extracted from the fruit and dried by lyophilization. Dried samples were ground in a Retsch model ZM 200 mill (Hann, Germany) then passed through a stainless-steel sieve (1 mm mesh) to a uniform particle size.",122.42,33.32,,
12,"(He et al., 2020)",https://doi.org/10.3389/fphar.2020.00617,Passiflora edulis Sims.,leaves,China,2.86,70.1,3.38,maceration method,,PASSIFLORA EDULIS F. FLAVICARPA,Passiflora edulis F. Flavicarpa Deg. had the highest ash concentration in the seed and which was followed by the ash in the outer coat. ,a-tocopherol and D-atocotrienol ,"So far, 33 flavonoids have been identified in various parts of P. edulis. Among them, the major flavonoids identified from P. edulis are vitexin, isovitexin, isoorientin, apigenin, quercetine, luteolin, and their derivatives, which represent important classes of effective compounds in P. edulis regarding their various biological and pharmacological properties",,,,
13,"(Adeyeye & Aremu, 2408)",http://www.ftstjournal.com/uploads/docs/21B%20Article%202.pdf,Passiflora edulis Sims.,leaves,China,1.21,0.15,,Soxhlet  method,ethanol,PASSIFLORA EDULIS F. FLAVICARPA,Passiflora edulis F. Flavicarpa Deg. had the highest ash concentration in the seed and which was followed by the ash in the outer coat. ,quercetine, The digests were removed and covered with glasses. Two millilitres of 50 gl-1 lanthanum chloride solution was added and the beakers were heated for the second time until dryness. Each of the final solutions was washed into a 25 ml standard flask with 0.1M HNO3 (10 ml) and made up to the mark with distilled de-ionised wate,,62.23,46.5,
14,"(Talcott et al., 2003)",doi:10.1021/jf020769q,Passiflora edulis,fruit juice,Brazil and Ecuador,,,,Soxhlet  method,methanol,Passiflora edulis f. flaVicarpa,"Yellow passion fruit juice (PFJ) was evaluated following fortification with sucrose and ascorbic acid and deaeration to remove dissolved oxygen for comparison to a nonfortified, nondeaerated control", ascorbic acid,,,,,
15,"(Fonseca et al., 2022)",doi:10.1016/j.foodres.2022.111665,Passiflora edulis f. flaVicarpa,fruit pulp, Brazil,,,,digestion method,linalool,Passiflora edulis f. edulis):,"It was demonstrated that a methanolic PPF pulp extract was able to improve TEER results (83.7% and 59.5% for residues after extraction and
lyophilized extract (0.10 mg.mL-1), respectively.",a-tocopherol and D-atocotrienol ,,,,,
16,"(Samyor et al., 2020)",doi:10.1007/s13197-020-04596-y,Passiflora edulis,fruit pulp,India,"
210.11",,,digestion method, ,Passiflora edulis),"The vitamins and phenolic acids in pulp and powder were identified and quantified by RP-HPLC . The bcarotene, ()-a-tocopherol and D-a-tocotrienol were detected at the retention times of 3, 3.5 and 3.8 min, respectively. ", ascorbic acid,,,,26.45,
17,"(Kobo et al., 2022)",doi:10.3390/antiox11081579,Passiflora edulis Sims,Peels of fruit,France.,"382.86
",,,digestion method,formic acid,Passiflora edulis Sims,"The powder yield is one of the key quality indicators linked to the efficiency of freezedrying
process. The production yield of the PFPP ranged from 13.02 (WS) to 15.40% (MT).",vitamin C,"The peels were cut into uniform sizes (4 — 4 mm) and then oven-dried (EcoTherm Economy, Labotec, Cape Town, South Africa) at 50 C to a constant mass. The dried peels were ground into a fine powder (<1 mm particle size), mixed with 70% (v/v) ethanol",,,48.5,
18,"(Viera et al., 2022)",doi:10.3390/plants11030328,Passiflora edulis f.,fruit pulp, Brazil,2.08,67.73,6.07,superficial method," hexane
50%, ethanol 25%, acetone 25% (v/v/v), 0.1% of butylated hydroxytoluene (BHT) (p/v) and 5 g of calcium chloride (p/v).",Passiflora edulis f. flavicarpa  ,"Results showed that INIAP 2009 and P10 showed a high amount of polyphenols, antioxidant activity and citric content. Sweet passion fruit had the lowest vitamin C content.",tocopherol,Phytocomponent extraction was carried out by the method of Hue et al. [37]. Dry sample (0.3 g) was placed in 15 mL plastic centrifuge tubes and 5 mL of methanol/water/formic acid solution added (70:30:0.1 v/v/v). ,,,,
19,"(Chassagne et al., 1996)",doi:10.1016/0031-9422(95)00814-4,Passiflora edulis Sims.,fruit,France ,,,,maceration method,EtOAc,Passiflora edulis Sims.,"using XAD-2 resin and methanol elution, and the total glycosidic isolate was submitted to enzymic hydrolysis with Hemicellulase REG 2. ",vitamin C,,114.65,,,
20,"(Carmona-Hernandez et al., 2019)",doi:10.3390/molecules24244614,Passiflora edulis,fruits,Colombian,1.62,,,Soxhlet  method,,"Passiflora edulis var. Flavicarpa (Maracuy¡), Passiflora edulis
var. Sims (Gulupa), and Passiflora ligularis var. Juss (Granadilla)","Subsequently, targeted quantification was applied to characterize the phytochemical profiles of extracts from P. edulis var. Flavicarpa (Maracuy¡), P. edulis var. Sims
(Gulupa), and P. ligularis var. Juss (Granadilla). ", ascorbic acid," prepare polyphenol-rich extracts of pulp for application to cells, ~2 g of each lyophilized Passiflora was dissolved in 10 mL of 70% methanol in water (v/v), vortexed for 3 min at 448— g. and sonicated for 20 min. Mixtures were then centrifuged for 15 min at 2800— g.",,,,
21,"(Macoris et al., 2012)",https://doi.org/10.1002/jsfa.5556,Passiflora edulis Sims.,fruit pulp,Brazil,361.9,29.1,,methanol:water containing 40% methanol:water (v/v).,,PASSIFLORA EDULIS F. FLAVICARPA," TPC values increased in the passion fruit pulp during ripening for both cultivation systems, ranging from 281.8 to 361.9  (P©½0.05) for the organic pulp and from 291.0 to 338.6  (P©½0.05) for the conventional pulp.", ascorbic acid,,,,,
22,"Oliveira et al., 2018",https://Oliveira et al./IFRJ 23(4): 1653-1662,Passiflora edulis Sims.,fruit pulp,Brazil,63.6,1.02,2.55,,,PASSIFLORA EDULIS F. FLAVICARPA,,,,,,,
23,"ManasiPatil et al., 2015",doi:https://www.researchgate.net/publication/358367963_Preliminary_Phytochemical_Evaluation_of_Passiflora_Fruits,Passiflora edulis,Fruit pulp,India,,,,Soxhlet  method, methanol/ethanol/distilled water,Passiflora edulis,"A physicochemical analysis of fruit pulp reveals that it contains 92 percent ash, 70 percent moisture, and 30 percent dry matter. ",tocopherol,"Various solvents, such as Petroleum ether, Acetone, Methanol, Ethanol, and Aqueous, were used to extract values. Preliminary phytochemical analyses of the extract were done using particular reagents by techniques, and the % yield of the extract was calculated",,,38.5,
24,"ManasiPatil et al., 2015",doi:https://www.researchgate.net/publication/358367963_Preliminary_Phytochemical_Evaluation_of_Passiflora_Fruits,Passiflora edulis,Fruit pulp,India,,,,maceration method, methanol/ethanol/distilled water,Passiflora edulis," phenols, flavones, tannins, coumarins, saponins, alkaloids, starch, xanthoproteins, reducing sugar, and oil has been confirmed by powder behaviour and preliminary phytochemical analysis of the results.",vitamin C,"Various solvents, such as Petroleum ether, Acetone, Methanol, Ethanol, and Aqueous, were used to extract values. Preliminary phytochemical analyses of the extract were done using particular reagents by techniques, and the % yield of the extract was calculated",,,,
25,"(Matsui et al., 2010)",doi:10.1021/jf102650d,Passiflora edulis,"pulp, and seed", Japan ,,,,Soxhlet  method,water/acetonitrile/acetic acid,Passiflora edulis,"piceatannol (3,4,30,50-tetrahydroxytrans-
stilbene) is present in passion fruit seeds in large amounts and that this compound is the major component responsible for the PF-S effects observed on melanogenesis and collagen synthesis.",piceatannol,"The polyphenol concentration was measured
according to a modified Folin-Ciocalteu method, using (-)-epicatechin to obtain the standard curve for
polyphenol. To examine whether polyphenols contribute to the inhibition
of melanogenesis and collagen synthesis, polyphenols were removed from PF-S via absorption with PVPP because the amide bonds of PVPP form
hydrogen bonds with the hydroxyl groups of polyphenols.",,,,
26,"(Pereira et al., 2011)",doi:10.1016/j.phytochem.2011.06.009,Passiflora edulis Sims.,buds,Brazil and Ecuador,,,,Soxhlet  method, distilled water,Passiflora edulis Sims.,results show that soluble protein extracts from all bud stages possessed strong inhibitory activity (80%) against both trypsin and papain ., ascorbic acid,,,,,
27,"(Hernandez et al., 2016)",doi:10.3390/molecules24244614,Passiflora edulis,fruits,"Caeine, theobromine, teofiline, (+)-catechin, (-)-epigalocathechin gallate, (-)-epicatechin,
(-)-epicathechin gallate, (-)-epigallocatechin, cafeic acid, p-coumaric acid, vanillic acid, rosmarinic acid,
quercetin, naringenin, luteolin, kaempferol, ursolic acid, pinocembrine, carnosic acid, apigenin, ferulic
acid, cyanidin-3-rutinosede, pelargonidin-3-glucoside, cyanidin, pelargonidin, quercetine 3-glucoside,
and kaempferol 3-glucoside were from Sigma Aldrich.",,,,maceration method,,"P. edulis var. Flavicarpa, P. edulis var. Sims, and P. ligularis var.
Juss","Considering the six study areas, we observed that pollinator enhancement promoted a significant increase in pollinator density of both LPD and HPD areas (LPDareas: t = 3.12; df = 16; P = 0.007; HPD areas: t = ˆ’8.09; df = 16; P = 0.005) .", ascorbic acid,,,,,
28,"(Pan et al., 2020)",doi:10.1021/acs.jafc.9b04871,Passiflora edulis,seeds,"Passion fruit (Passiflora edulis Sims) seeds were
purchased from Guilin, Guangxi Province of China, in 2018, and
identified by Dr. Zheng-Hong Pan (Guangxi Institute of Botany,
CAS). A voucher specimen (CTM2018-02) was deposited in the
Guangxi Key Laboratory of Functional Phytochemicals Research and
Utilization, Guangxi Institute of Botany, CAS.",,,,maceration method,"methanol
for the preparation of two major stilbenes, scirpusin B  and piceatannol  with purities of 90.2% and 94.8%, respectively.", Passiflora edulis Sims,"the HPLC analysis showed that the stilbenes-rich crude extract contained two major stilbenes, piceatannol and scirpusin B,
which were used to select the suitable two-phase solvent system. ",tocopherol,"HSCCC combined with semipreparative HPLC has
been successfully applied to purify the remaining minor
stilbenes. Finally, four new piceatannol derivatives and five known ones were isolated from the stilbenes-rich extract of
passion fruit seed and they all showed significant ¡-glucosidase
inhibitory activities.",,,,
29,"(Andrade et al., 2021)",doi:10.1016/j.foodres.2021.110282,"Passiflora
edulis ",leaves,Brazil,281.82,741.53,,Soxhlet  method,,"  Passiflora
edulis,   ","The results revealed high contents of total phenolics (13.34 0.19  127.65 0.21 mg.g€€€ 1 of :QE (2:1) of sample) and flavonoids (12.30 0.42  71.79 0.00 mg.g€€€ 1 QE of sample). The ABTS results exhibited extraordinary activity in the extracts (74.48 6.23  1487.33 2.67 ¼mol Trolox.g€€€ 1 of sample). Acids quinic, tartaric, citric, gallic, chlorogenic, p-coumaric, ferulic and vanillic along with naringenin, rutin, vanillin, catechin, epicatechin, kaempferol were the most important compounds. Thus, these leaves extracts may be considered as sources of phenolics compounds having a high potential as natural antioxidants. In addition, the polyphenols present in these leaves have many beneficial effects and can also be used in medicinal and nutraceuticals products with
enhanced bioactivities.",tocopherol,"The technique, Green Ultrasonic Assisted Extraction, was used in
order to extract phenolics compounds by means of GRAS solvents
(aqueous and 12% ethanolic extraction), using ultrasonic bath having
ultrasonic frequency of 40KHz, and at room temperature (25 2 —¦C).
For aqueous extraction by infusion, 1.5 g of sample was extracted with
15 mL of distilled water at 60 —¦C in an ultrasound apparatus",,,26.45,
30,"(Rangel, 2002)",doi:10.1016/s0031-9422(02)00169-3,Passiflora flavicarpa,"leaves and
a small apical leaf",Brazil,,,,Soxhlet  method, NaCl,Passiflora edulis f. flavicarpa),"The results suggest that the wound response in passion fruit plants may be mediated by a
chloroplast 13-LOX, a key enzyme of the octadecanoid defense-signaling pathway.",quercetine,,,,,
31,"(de Oliveira et al., 2017)",doi:10.1016/j.scienta.2017.05.021,Passiflora edulis S.,fruit pulp,Brazil,"43.3
",7.2,,superficial method,,Passiflora edulis S.,"Results show that organic fruits were smaller, although with higher soluble solids
content and a lower acidity. At breaker stage, PAL activity was 24% than higher in organic fruits than in conventional fruits, although, total phenolic content was higher in conventional fruits harvested at both breaker (36.14 ) and ripe (36.47 ) stages. Organic fruit showed a significantly greater lipid peroxidation degree of biological membranes, despite their also higher APX activity and vitamin C contents. Results suggest that organic cropping system induced an oxidative stress in passion fruit, negatively influencing
fruit size, although inducing the antioxidant defense mechanism, through increments of vitamin C and antioxidant enzymes activity.",tocopherol,"Total phenolic content was measured by a colorimetric assay using Folin-Ciocateu reagent.For the colorimetric
assay, 1 mL of Folin-Ciocateu (1:3) reagent, 2 mL Na2CO3 at 20% and 2.850 mL of distilled water were added to 150 ¼L and 1000 ¼L of extract for physiologically mature and ripe respectively",,,49.71,
32,"(Pertuzatti et al., 2015)",doi:10.1016/j.lwt.2015.05.031,P. edulis Sims f. flavicarpa  ,fruit pulp,Brazil,,,,superficial method,ethanol,"P. edulis Sims f. flavicarpa, Degener","The results showed that the passion fruit grown under the organic cultivation approach contained a higher content of tocopherols than those cultivated using conventional methods (0.061 and 0.052 mg of tocopherols.100 g1 of fresh fruit, respectively). The major component in the samples produced by both systems was g-tocopherols, which were found at a concentration of 0.045 mg$100 g1 in the organic fruits and 0.042 mg$100 g1 in the conventional fruits.",tocopherol,"The fruit extracts were
obtained using cold acetone and mixed with petroleum ether. The ethereal phase was separated and centrifuged at 9000 rpm for
10 min",,,,
33,"(Septembre-Malaterre et al., 2016)",doi:10.1016/j.foodchem.2016.05.147,Passiflora edulis .,fruit pulp,Brazil,"86.6

",70.1,,superficial method,"
"," Passiflora edulis,  .","Results showed that total amounts of carbohydrates, vitamin C and carotenoids were 7.767.3 g glucose equivalent, 4.784.9 mg ascorbic acid equivalent and 26.6 3829.2 lg b-carotene equivalent/100 g fresh weight, respectively. Polyphenols were detected as the most abundant antioxidants (33.0286.6   fresh weight) with the highest content from passion fruit. UPLC-MS analysis led to identify epigallocatechin and quercetin derivatives from banana and litchi, ferulic, sinapic, syringic and gallic acids from pineapple and mango, and piceatannol from passion fruit.",tocopherol,Polyphenols extracted from tropical fruits were identified by ultra-high performance liquid chromatography analysis coupled with diode array detection and electrospray ionization-mass spectrometry,,54.25,24.85,
34,"(Casarotti et al., 2018)",doi:10.1016/j.lwt.2018.08.010,Passiflora edulis,fruit by-products,Brazil,384.44,,,water,water,Passiflora edulis,"the results indicate that fruit by-products are a potential source of bioactive compounds, such as fibers, phenolics , and carotenoids, which might encourage their utilization by food industries for the development of new added-value products.",quercetine,"The total dietary fiber was obtained through the addition of the insoluble and soluble fractions. The available carbohydrates were determined by difference, calculated as the
percentage difference between 100 and the sum of moisture, protein,
lipid ash, and total dietary fiber percentages",,,44.25,
35,"(Luzia  et al., 2013) ",doi: 10.20959/wjpr201714-9978,Passiflora edulis,leaves,India,,,,maceration method,,Passiflora edulis,"Results indicates the leaf extracts of Passiflora edulis has profound antioxidant activity. The different leaf extracts of Passiflora edulis showed strong antioxidant activity of which methanol extract showed a better radical scavenging activity in all the assays. The presence of phytochemical compounds like tannins, flavonoids and tannins may be responsible for its antioxidant activity. Isolation and identification of bioactive compounds will be helpful in understanding its use in traditional medicines.",tocopherol,"The samples were extracted using hexane, methanol and aqueous. The powdered leaves (100 g) was weighed and soaked in 300ml of hexane, methanol and distilled water in a conical flask separately. The conical flask containing the powdered leaves and solvent was shaken vigorously, corked and left to stand for 72 hrs. at room temperature",,,43.75,
36,"(Viera et al., 2022)",https://doi.org/10.3390%2Fplants11030328,Passiflora edulis Sims.,fruit pulp,Ecuador,2.09,0.55,42.51,Soxhlet  method,,PASSIFLORA EDULIS F. FLAVICARPA,The results for carotenoids obtained for all the passion fruit germplasm grown in Ecuador were higher (from 22.80 to 67.73 g ² carotene g) than those found by Wondracek et al. (7.80 g ² carotene g) and  (1.87 g ² carotene g)., ascorbic acid,"Pulp was extracted from the fruit and dried by lyophilization. Dried samples were ground in a Retsch model ZM 200 mill (Hann, Germany) then passed through a stainless-steel sieve (1 mm mesh) to a uniform particle size.",,,,
37,"(Xirui He et al., 2011)",https://doi.org/10.3389/fphar.2020.00617,Passiflora edulis Sims.,leaves,China,2.86,70.1,3.38,water,,PASSIFLORA EDULIS F. FLAVICARPA,Passiflora edulis F. Flavicarpa Deg. had the highest ash concentration in the seed and which was followed by the ash in the outer coat. , ascorbic acid,"So far, 33 flavonoids have been identified in various parts of P. edulis. Among them, the major flavonoids identified from P. edulis are vitexin, isovitexin, isoorientin, apigenin, quercetine, luteolin, and their derivatives, which represent important classes of effective compounds in P. edulis regarding their various biological and pharmacological properties",,,,
38,"(Emmanuel Ilesanmi  et al., 2013)",http://www.ftstjournal.com/uploads/docs/21B%20Article%202.pdf,Passiflora edulis Sims.,leaves,China,1.21,0.15,,maceration method,methanol,PASSIFLORA EDULIS F. FLAVICARPA,Passiflora edulis F. Flavicarpa Deg. had the highest ash concentration in the seed and which was followed by the ash in the outer coat. ,quercetine, The digests were removed and covered with glasses. Two millilitres of 50 gl-1 lanthanum chloride solution was added and the beakers were heated for the second time until dryness. Each of the final solutions was washed into a 25 ml standard flask with 0.1M HNO3 (10 ml) and made up to the mark with distilled de-ionised wate,,,,
39,"( Ramaiya et al., 2016)",doi: 10.3923/pjn.2019.421-429,Passiflora edulis Sims.,leaves,Malaysia ,570.74,3.23,33.63,maceration method,,PASSIFLORA EDULIS F. FLAVICARPA,Each species showed specific physicochemical characteristics producing oil with different compositions and properties. The PCA indicates that the first two PCs for the oil properties accounted for 73.44% of the total variance. , ascorbic acid,Passiflora seed oil was extracted using the Soxtec solvent extraction technique with petroleum ether as the solvent. Five grams of the finely ground seed meal was weighed into six separate reservoirs,,,43.75,
40,"(He et al., 2020)",doi10.1002/jsfa.5876,Passiflora edulis Sims.,leaves,Malaysia ,361.73,0.24,,maceration method,sodium phosphate,PASSIFLORA EDULIS F. FLAVICARPA,"Purple and Yellow P. edulis had significantly higher total sugar, 142.85 0.17 g kg and 139.69 0.12 g kg, respectively, than other cultivars. Glucose and fructose content were higher in juice from vine-ripened fruits of Purple, Frederick and Yellow P. edulis, P. quadrangularis and P. maliformis. ",quercetine,"The levels of sugars, ascorbic acid, total phenolic content (TPC) and total antioxidant activity (TAA) were determined in fruit juices from seven passion fruit (Passiflora spp.) cultivars: P. edulis cultivars Purple, Frederick, Yellow, Pink, P. edulis f. flavicarpa, P.",,,,
41,"(Adeyeye & Aremu, 2408)",doi:10.1007/s13197-018-3190-2,Passiflora edulis Sims.,fruit pulp,Brazil,297.31,506.45,178.5,Soxhlet  method,,PASSIFLORA EDULIS F. FLAVICARPA,"The purple fruit was highlighted by a great value of anthocyanins (103.68 mg/100 g) in peels and seeds and the orange fruit reported higher levels of ash, carotenoids (mainly ²-carotene with 21,274 ¼g/100 g), kaempferol in peels, higher contents of total soluble solids, lycopene (4405 ¼g/100 g), lutein, zeaxanthin, total carotenoids in pulps and phenolics in general.", ascorbic acid,,,,49.71,
42,"(Talcott et al., 2003)",https://doi.org/10.1016/j.microc.2010.02.003,Passiflora edulis Sims.,fruit pulp,Brazil,158.037,16.226,,Soxhlet  method,,PASSIFLORA EDULIS F. FLAVICARPA,"The passion fruit pulp contained 16.226 0.050 mg Lˆ’ 1 of isoorientin and 158.037 0.602 mg Lˆ’ 1 of total flavonoid, suggesting that P. edulis fruits may be comparable with other flavonoid food sources such as orange juice or sugarcane juice.",,"Extraction of flavonoids was optimized by experimental design methodology, and quantitative analysis was performed by high-performance liquid chromatography with photo-diode array detection (HPLC-UV/DAD).",,,,
43,"(Fonseca et al., 2022)",https://doi.org/10.4025/actascibiolsci.v39i4.34045,Passiflora edulis Sims.,fruit pulp,Brazil,20.55,,57.76,Soxhlet  method,methanol,PASSIFLORA EDULIS F. FLAVICARPA,"The passion fruit pulp contained 16.226 0.050 mg Lˆ’ 1 of isoorientin and 158.037 0.602 mg Lˆ’ 1 of total flavonoid, suggesting that P. edulis fruits may be comparable with other flavonoid food sources such as orange juice or sugarcane juice.","he method was developed and validated according to ICH requirements for specificity, linearity, accuracy, precision (repeatability and intermediate precision), LOD and LOQ.","Extraction of flavonoids was optimized by experimental design methodology, and quantitative analysis was performed by high-performance liquid chromatography with photo-diode array detection (HPLC-UV/DAD).",,43.75,,
44,"(Silva & Mercadante, 2002)",http://dx.doi.org/10.1590/S0101-20612002000300010,Passiflora edulis Sims.,seeds,Brazil,,,10.3,Soxhlet  method,,PASSIFLORA EDULIS F. FLAVICARPA," In all the samples, the following carotenoids were found: b-cryptoxanthin, prolycopene, cis-z-carotene, z-carotene, b-carotene, 13-cis-b-carotene. Besides that neurosporene and g-carotene were also found in some lots.",tocopherol,,,,,
45,"(Ramli et al., 2020)",https://doi.org/10.1007/s42452-020-03550-z,Passiflora edulis Sims.,fruit pulp,Malaysia,7.273,8.364,,Soxhlet  method,sodium phosphate,PASSIFLORA EDULIS F. FLAVICARPA,Total phenolic content of passion fruit peel was obtained by 10% Follin Ciocalteu reagent with gallic acid as a standard. Gallic acid is one of natural phenol compound that derived from hydro-benzoic acid and it was reacted with Follin Ciocalteu in an alkaline condition. , 5-hydroxymethylfurfural,Total phenolic content (TPC) of P. edulis peel extract was determined using the FolinCiocalteau assay,,,49.71,
46,"(Malacrida & Jorge, 2012)",doi:10.1590/s1516-89132012000100016,Passiflora edulis Sims.,fruit pulp,Brazil,314.13,,499.3,Soxhlet  method,,PASSIFLORA EDULIS F. FLAVICARPA,"The tocopherol composition of the passion fruit seed oil was determined by using the high performance liquid chromatography (HPLC). Prior to the HPLC analysis, the seed oil was diluted with hexane (0.4:10 w/w) and 20 L samples were injected", ascorbic acid,The passion fruit seed oil was obtained by extraction with petroleum ether at 40-60C using a Soxhlet extractor for six hours. ,,,49.71,
47,"(Talcott et al., 2003)",doi: 10.1021/jf020769q,Passiflora edulis Sims.,fruit pulp,USA,2.5,50,9,Soxhlet  method,,PASSIFLORA EDULIS F. FLAVICARPA,"A significant chemical interaction affecting antioxidant capacity was found for hydrophilic juice components, but none was observed in the presence of lipophilic phytochemicals. Physicochemical attributes and overall quality of PFJ were retained following pasteurization but were significantly impacted by degradative reactions during accelerated storage.", 5-hydroxymethylfurfural,"juices were stored for 28 days at 37 C to accentuate physicochemical changes. Pasteurization (85 C for 30 min) resulted in minor changes to physicochemical attributes, but appreciable changes occurred during storage that resulted in termination of the study after 28 days",,,,
